ville,historic,building,amenity,tourism,name,name:ar,lat,lon,surface_m2
Tunis,,mosque,place_of_worship,,جامع الفتح,جامع الفتح,36.80793819237213,10.180651275986378,2763.547533247286
Tunis,church,yes,police,,,,36.80728085,10.173825849999998,417.16206281864106
Tunis,,yes,place_of_worship,,,,36.82329210407364,10.153467768469305,622.6270313971863
Tunis,,yes,place_of_worship,,,,36.8373345515483,10.194375221506771,1763.79876810621
Tunis,,,place_of_worship,,جامع التوبة,جامع التوبة,36.82889295253778,10.192662062571948,3927.6491432782714
Tunis,archaeological_site,,,,Mactaris,,35.853960696952704,9.207444847055491,220085.2867044894
Tunis,,yes,place_of_worship,,,,35.806675435683125,10.651277104654696,883.7922873764089
Tunis,,mosque,place_of_worship,,,,36.31403609352762,10.210924883019702,219.67238354204028
Tunis,ruins,,,,الزريبة العليا,الزريبة العليا,36.31428888788189,10.209891054939883,47832.517036043624
Tunis,building,yes,,,,,36.31490054064641,10.209345012598599,41.00535218320397
Tunis,building,yes,,,,,36.314967312305924,10.209474810538465,39.95728043559997
Tunis,,,place_of_worship,,الجامع الكبير,الجامع الكبير,35.743035405474025,10.701694688735646,1590.1974853371082
Tunis,,museum,,museum,Ecomuseum,,36.72634509070449,10.32973049264078,329.89233700867237
Tunis,,yes,place_of_worship,,Mosquée Hamza,,35.85391704945656,10.600372757246745,1674.034737438953
Tunis,,mosque,place_of_worship,,جامع إبراهيم الخليل المنار 1,جامع إبراهيم الخليل المنار 1,36.83732615897043,10.140227334904356,2278.946057605503
Tunis,,,place_of_worship,,,,35.87560891208575,10.566012962638714,637.4946932808457
